GNN,STR,NDC
NIZATIDINE,150 MG,00093106593
FEXOFENADINE HCL,180 MG,00363057122
CITALOPRAM HYDROBROMIDE,10 MG,13107000505
TRIAMCINOLONE ACETONIDE,0.1 %,00472030180
CEFDINIR,300 MG,67253000760
"SYRING W-NDL,DISP,INSUL,0.5ML","30GX3/8""",57599889501
CARBAMAZEPINE,200 MG,00093010901
DONEPEZIL HCL,10 MG,00093073998
PALIPERIDONE PALMITATE,234MG/1.5,50458056401
SITAGLIPTIN PHOSPHATE,25 MG,00006022154
DONEPEZIL HCL,10 MG,62756044583
GALANTAMINE HBR,4 MG,10147088106
ATENOLOL,50 MG,63304062201
MECLIZINE HCL,12.5 MG,51079008920
RIVASTIGMINE TARTRATE,1.5 MG,00781261460
NEFAZODONE HCL,150 MG,00093711306
BENZONATATE,200 MG,67877010605
BICALUTAMIDE,50 MG,51079069203
SERTRALINE HCL,100 MG,00378418801
MELOXICAM,7.5 MG,60505255308
AMLODIPINE BESYLATE/BENAZEPRIL,5 MG-10 MG,49884093001
DICLOFENAC SODIUM,75 MG,16571020111
FENTANYL,75MCG/HR,50458009305
TACROLIMUS,1 MG,00469061711
BUSPIRONE HCL,30 MG,00093520005
"SYRING W-NDL,DISP,INSUL,0.5ML",29 GAUGE,59779114796
MYCOPHENOLATE MOFETIL,250 MG,00781206701
RANITIDINE HCL,15 MG/ML,64679069401
IRBESARTAN/HYDROCHLOROTHIAZIDE,150-12.5MG,00087277532
DEXAMETHASONE SOD PHOSPHATE,4 MG/ML,63323016530
SULINDAC,150 MG,00591566101
TEMAZEPAM,30 MG,00378505005
LORATADINE/PSEUDOEPHEDRINE,10MG-240MG,00113016552
SULFAMETHOXAZOLE/TRIMETHOPRIM,800-160 MG,00904272540
FLUOCINONIDE,0.1 %,99207052530
BROMOCRIPTINE MESYLATE,2.5 MG,00378204293
PROMETHAZINE HCL,6.25MG/5ML,57664014634
"NEEDLES, INSULIN DISPOSABLE","31GX1/4""",68016090728
SIMVASTATIN,10 MG,16252050690
,,50924010310
PRAMIPEXOLE DI-HCL,0.125 MG,13668009105
AZATHIOPRINE,100 MG,65649024141
OLANZAPINE,10 MG,55111026381
ACYCLOVIR,200 MG,63304065201
NITROGLYCERIN,0.2MG/HR,00089130230
RABEPRAZOLE SODIUM,20 MG,62856024341
NAPROXEN SODIUM,500 MG,68453085075
BENAZEPRIL HCL,40 MG,65862011801
CARBAMAZEPINE,100 MG/5ML,00078050883
HYOSCYAMINE SULFATE,0.125 MG,13811010310
DIFLORASONE DIACETATE,0.05 %,00168024360
CARISOPRODOL,350 MG,64980017410
GABAPENTIN,100 MG,00904607861
ORPHENADRINE CITRATE,100 MG,52152034002
LISINOPRIL,2.5 MG,00172375700
SULFASALAZINE,500 MG,00904115260
GLYCOPYRROLATE,1 MG,68084023101
NIZATIDINE,300 MG,00185030030
ISOTRETINOIN,10 MG,00378661193
AMLODIPINE/ATORVASTATIN,2.5MG-20MG,00069297030
TORSEMIDE,5 MG,49884010601
"SYRING W-NDL,DISP,INSUL,0.3ML","30GX1/2""",86227062035
BUSPIRONE HCL,5 MG,58177026404
CANDESARTAN/HYDROCHLOROTHIAZID,32MG-25MG,00186032454
CHOLECALCIFEROL (VITAMIN D3),1000 UNIT,54629005024
GENTAMICIN SULFATE,0.3 %,48102010235
CEFPODOXIME PROXETIL,200 MG,63304052101
TAZAROTENE,0.05 %,00023833503
TRIAMTERENE/HYDROCHLOROTHIAZID,75 MG-50MG,50111050501
FLUOXETINE HCL,20 MG,00406066305
DIPYRIDAMOLE,25 MG,00115107001
ASPIRIN,325 MG,00603016902
MINOCYCLINE HCL,75 MG,63304069501
WARFARIN SODIUM,3 MG,00406205401
AZITHROMYCIN,200 MG/5ML,00185721268
RIBAVIRIN,400 MG,66435010356
CLARITHROMYCIN,250 MG,64679095401
ALLOPURINOL,100 MG,62584098801
SIMVASTATIN,40 MG,24658021345
LUTEIN,6 MG,11845013665
VALACYCLOVIR HCL,500 MG,65862044890
FAMCICLOVIR,500 MG,00781562231
FLUTICASONE PROPIONATE,0.005 %,00168033360
"NEEDLES, INSULIN DISPOSABLE","31GX1/4""",96295011392
BUPROPION HCL,100 MG,47335073613
RISPERIDONE,0.5 MG,50458030201
RISPERIDONE,1 MG,55111020305
ACETAMINOPHEN WITH CODEINE,300MG-60MG,68084037301
OMEPRAZOLE,20 MG,00093521101
CEFPROZIL,250 MG/5ML,63304096104
GUAIFENESIN/DEXTROMETHORPHAN,100-10MG/5,00121063804
ANASTROZOLE,1 MG,51079032306
ROSIGLITAZONE MALEATE,8 MG,00173083613
DOXAZOSIN MESYLATE,4 MG,00049277066
TRAZODONE HCL,50 MG,00182125900
CLARITHROMYCIN,250 MG,60505261606
ACETAMINOPHEN WITH CODEINE,300MG-30MG,49999006030
PAROXETINE HCL,10 MG/5 ML,60505037401
QUINAPRIL/HYDROCHLOROTHIAZIDE,20-25MG,43386071205
ONDANSETRON HCL,4 MG,00904620846
PERPHENAZINE,8 MG,00781104813
CALCIUM CARBONATE/VITAMIN D3,600 MG-400,54629001681
OXYBUTYNIN CHLORIDE,5 MG,00603497504
CALCIUM CARBONATE,500 MG/5ML,00121076616
NABUMETONE,500 MG,49884031901
AMPICILLIN SODIUM/SULBACTAM NA,1.5 G,00409298801
DOXYCYCLINE MONOHYDRATE,75 MG,00527153501
METFORMIN HCL,1000 MG,59762432206
ALCLOMETASONE DIPROPIONATE,0.05 %,00168026445
SERTRALINE HCL,100 MG,00049491041
MILRINONE LACTATE,1 MG/ML,55390007410
STREPTOMYCIN SULFATE,1 G,39822070602
RISPERIDONE,1 MG,16252056060
THYM/ME-SALICYLATE/MENTH/EUC,,00501100071
MAGNESIUM GLUCONATE,27 MG(500),60258017201
CIPROFLOXACIN HCL,750 MG,00172531310
LEVOTHYROXINE SODIUM,200 MCG,55390088010
PAROXETINE HCL,20 MG,00406209801
"SYRINGE & NEEDLE,INSULIN,1 ML","29GX1/2""",00603699821
CALCIUM CITRATE/VITAMIN D3,315 MG-200,11917011335
"HEPARIN SODIUM,PORCINE",10000/ML,25021040304
POLYETHYLENE GLYCOL 3350,17G/DOSE,00904575527
PSEUDOEPHEDRINE HCL,30 MG,50428477074
HYDROMORPHONE HCL,2 MG,00054439225
ATENOLOL,25 MG,00904539261
METOLAZONE,5 MG,00185005510
TERAZOSIN HCL,1 MG,00904565061
D-METHORPHAN HB/P-EPD HCL/BPM,10-30-2/5,60432083716
ASPIRIN,81 MG,41163046768
BISACODYL,10 MG,00536135512
AMOXICILLIN/POTASSIUM CLAV,500-125 MG,60505254002
BACITRACIN,500 UNIT/G,37205027510
AMOXICILLIN,500 MG,00029600732
LEUPROLIDE ACETATE,7.5 MG,00024079375
DESOXIMETASONE,0.05 %,61748020515
HYDROXYCHLOROQUINE SULFATE,200 MG,00406209605
CLONAZEPAM,2 MG,00185006510
BUPROPION HCL,75 MG,00093028005
NEOMY SULF/POLYMYX B SULF/PRED,0.5 %,00023002805
CYSTEAMINE BITARTRATE,150 MG,00378904505
CARVEDILOL,6.25 MG,00904587161
SODIUM CHLORIDE 0.45 %,0.45 %,00074798509
THYROID,120 MG,00603605432
AMOXICILLIN,125 MG,00093226701
"DIAPER,BRIEF,ADULT,DISPOSABLE",,38703003625
DEFEROXAMINE MESYLATE,500 MG,00409233610
OMEPRAZOLE,20 MG,49035091574
BUPROPION HCL,150 MG,10370016006
DILTIAZEM HCL,120 MG,62584097411
FAMCICLOVIR,250 MG,65862046630
CEFUROXIME SODIUM,750 MG,25021011810
CEFPROZIL,125 MG/5ML,68820001817
GAUZE BANDAGE,"2"" X 2""",11917011568
METOCLOPRAMIDE HCL,5 MG/ML,60977045102
CHLORPHENIRAMINE MALEATE,4 MG,00904001259
LACTOBACILLUS ACIDOPHILUS,,47469000970
TIZANIDINE HCL,2 MG,49884078253
MAGNESIUM,250 MG,24385096778
CARBAMAZEPINE,200MG/10ML,66689032350
HEPATITIS B VIRUS VACCINE-PF,10 MCG/ML,00006409409
SULFACETAMIDE SODIUM/SULFUR,9 %-4 %,42192012116
,,10158006204
CODEINE/BUTALBITAL/ASA/CAFFEIN,30-50-325,00591042501
COLLAGENASE CLOSTRIDIUM HIST.,250 UNIT/G,00074231660
ACETAMINOPHEN,160 MG/5ML,00182147340
ACETAMINOPHEN/PHENYLTOLX CIT,500MG-30MG,52083048010
MULTIVITAMIN/IRON/FOLIC ACID,18MG-0.4MG,00005475550
CARBOPLATIN,10 MG/ML,00703424601
BISMUTH SUBSALICYLATE,262MG/15ML,49348092237
BUDESONIDE,0.5 MG/2ML,00093681645
MECLIZINE HCL,12.5 MG,00536398510
ETOPOSIDE,20 MG/ML,55390029101
HYDROCORTISONE/PRAMOXINE,2.5 %-1 %,00496072606
CITALOPRAM HYDROBROMIDE,40 MG,00258369701
PENICILLIN V POTASSIUM,500 MG,00093519501
ATORVASTATIN CALCIUM,80 MG,49999088230
RANITIDINE HCL,75 MG,00904581852
LOSARTAN POTASSIUM,50 MG,00006095258
CALCIUM CARBONATE/VITAMIN D3,250 MG-125,00904188261
0.9 % SODIUM CHLORIDE,,00074710167
OXYCODONE HCL,5 MG/5 ML,66689002401
"INCONTINENCE PAD,LINER,DISP",,08004046900
REPAGLINIDE,0.5 MG,00169008183
SULFACET SOD/SULF/UREA/MERA/TI,10-4-SPF25,68032031191
PSYLLIUM SEED (WITH SUGAR),,37000074078
ASPIRIN,325 MG,63868091410
BISOPROLOL FUMARATE/HCTZ,10-6.25MG,00591084301
TOBRAMYCIN SULFATE,40 MG/ML,23360001430
KETOROLAC TROMETHAMINE,15 MG/ML,64679075702
CITALOPRAM HYDROBROMIDE,10 MG,16590005530
FERROUS SULFATE,325(65) MG,51645076010
PENICILLIN G PROCAINE,1.2MM/2 ML,60793013110
,,63402030401
ALPRAZOLAM,0.25 MG,43353035753
UREA,45 %,13811059516
MAG HYDROX/AL HYDROX/SIMETH,200-200-20,10939022733
ARIPIPRAZOLE,30 MG,59148001113
LAMOTRIGINE,200 MG,13668004905
TRETINOIN,0.05 %,43478024220
CITALOPRAM HYDROBROMIDE,10 MG,00456401001
RUFINAMIDE,200 MG,62856058230
ISONIAZID,300 MG,00555007105
PROBENECID,500 MG,00591534710
CHOLECALCIFEROL (VITAMIN D3),2000 UNIT,74312017621
BENZONATATE,100 MG,57664013388
FLUOXETINE HCL,20 MG,00172435660
MELOXICAM,7.5 MG,00054022625
EYELID CLEANSER COMBINATION #1,,58790000550
MEPERIDINE HCL,50 MG/ML,00409118130
AMLODIPINE BESYLATE,10 MG,68462021210
METHADONE HCL,10 MG,00406345434
CARISOPRODOL,350 MG,64980017401
COD LIVER OIL/ZINC OXIDE,40 %,00713025804
LIOTHYRONINE SODIUM,50 MCG,60793011701
NYSTATIN,100000/ML,00121478505
LORATADINE/PSEUDOEPHEDRINE,10MG-240MG,51660072401
ASPIRIN,325 MG,41163041687
DIFLUNISAL,500 MG,55289046030
BUPROPION HCL,75 MG,60505015805
PIPERACILLIN SODIUM/TAZOBACTAM,3.375 G,25021016530
TRIAZOLAM,0.25 MG,00009001759
LOVASTATIN,20 MG,51079097556
NALTREXONE HCL,50 MG,51285027501
PNV NO.15/IRON FUM & PS CMP/FA,85 MG-1 MG,52747062030
TERCONAZOLE,0.4 %,00062535001
CARBIDOPA/LEVODOPA,25MG-100MG,60505012901
SULFAMETHOXAZOLE/TRIMETHOPRIM,400MG-80MG,59762408002
PRAMOXINE HCL/MINERAL OIL/ZNOX,1%-12.5%,42002030001
FLUOXETINE HCL,20 MG/5 ML,00406066701
ALPROSTADIL,20 MCG,00009370105
TRETINOIN/EMOLLIENT,0.02%,00062018702
UREA,45 %,68032042909
DILTIAZEM HCL,180 MG,58177006226
TOPIRAMATE,25 MG,64376011910
HYDROCODONE BIT/ACETAMINOPHEN,7.5-500/15,50474090916
FINASTERIDE,5 MG,00555077002
BENZOYL PEROXIDE,4 %,59366270401
IRON FUM & P/FA/VIT B & C NO.9,125MG-1MG,13811053990
ACEBUTOLOL HCL,400 MG,49884058801
VENLAFAXINE HCL,37.5 MG,00904624661
PROMETHAZINE HCL,25 MG,60429015001
LISINOPRIL/HYDROCHLOROTHIAZIDE,20-25MG,00093103701
WARFARIN SODIUM,5 MG,31722033210
PAROXETINE HCL,20 MG,00406209803
TERBINAFINE HCL,1 %,24385052705
ACETAMINOPHEN,500 MG,41163048471
CARBOXYMETHYLCELLULOSE SODIUM,0.25 %,58790000115
LANCING DEVICE,,38396050101
MICONAZOLE NITRATE,2 %,46122003927
ENALAPRIL MALEATE,5 MG,51672403803
OMEPRAZOLE,40 MG,63304044510
RANITIDINE HCL,150 MG,00904608052
UREA,30 %,16781015796
CLONIDINE,0.1MG/24HR,00597003112
MINOCYCLINE HCL,100 MG,42291062005
,,00003010970
LAMIVUDINE,300 MG,54569550100
HYDROXYZINE HCL,50 MG,00603396928
"HC/MINERAL OIL/PETROLAT,WHT",1 %,46287000301
CYANOCOBALAMIN (VITAMIN B-12),1000 MCG,40985021104
SODIUM POLYSTYRENE SULFONATE,15G/60ML,00054380563
BACITRACIN,500 UNIT/G,49614041810
ONDANSETRON HCL,8 MG,45802020565
CHOLINE SAL/MAG SALICYLATE,500 MG/5ML,60258009008
RANITIDINE HCL,15 MG/ML,68094020462
LORATADINE,5 MG/5 ML,37205037826
LANOLIN/MINERAL OIL,,72140011020
BROMPHENIRAMINE MALEATE,6 MG,64376054301
UREA/LACTIC AC/ZN UNDECYLENATE,50 %,10337064610
DIAZEPAM,12.5-15-20,00187065920
BENZOCAINE/RESORCINOL,5 %-2 %,11509000363
METFORMIN HCL,1000 MG,62037067605
NICARDIPINE HCL,30 MG,42806050209
"CEFOTETAN DISOD/DEXTROSE,ISO",1 G/50 ML,00264317311
SULFASALAZINE,500 MG,53489014701
OCTREOTIDE ACETATE,100 MCG/ML,00781916795
NEOMY SULF/BACITRAC ZN/POLY,3.5-400-5K,00501373001
DEXTROMETHORPHAN HBR,15 MG/5 ML,49348090334
VERAPAMIL HCL,120 MG,51079068320
LIDOCAINE HCL,5 MG/ML,63323048450
AMPICILLIN SODIUM,500 MG,36000007110
HYDROCORTISONE BUTYRATE/EMOLL,0.1 %,00496082115
ACETAMINOPHEN/DP-HYDRAMINE,500MG-38MG,00067205391
"SYRINGE & NEEDLE,INSULIN,1 ML","29GX1/2""",81306051613
HYDROCORTISONE ACETATE,2.5 %,00496085904
MICONAZOLE NITRATE,2 %,53329007964
FLUPHENAZINE HCL,5 MG,49884007605
AMLODIPINE BESYLATE/BENAZEPRIL,5 MG-10 MG,00093737110
SUCRALFATE,1 G,00904543840
CEFOTAXIME SODIUM,500 MG,00069000302
ICHTHAMMOL,20 %,13279010530
DIPHENHYDRAMINE HCL,25 MG,00904203524
VANCOMYCIN HCL,10 G,00409651049
OMEPRAZOLE,20 MG,36800091555
"MINERAL OIL/PETROLATUM,WHITE",,00904775127
NORETHINDRONE,0.35 MG,00555034458
CHLORTHALIDONE,25 MG,51079005820
SIMVASTATIN,80 MG,68084016501
CARBOXYMETHYLCELLULOSE SODIUM,0.5 %,00023079801
OCTREOTIDE ACETATE,100 MCG/ML,63323037601
CILOSTAZOL,50 MG,00781509560
NITROFURANTOIN MACROCRYSTAL,100 MG,00149000905
"PROGESTERONE,MICRONIZED",4 %,52544028324
"DIPH,PERTUSS(ACELL),TET VAC/PF",2.5-8-5/.5,58160084232
ALLOPURINOL,100 MG,65483099110
"SYRING W-NDL,DISP,INSUL,0.3ML",30 GAUGE,38396040825
COLLAGENASE CLOSTRIDIUM HIST.,0.9 MG,66887000301
OMEGA-3 FATTY ACIDS,1000 MG,47469000928
RANITIDINE HCL,15 MG/ML,00121472710
CEFPROZIL,250 MG,64679071203
"SYRINGE & NEEDLE,INSULIN,1 ML","30GX1/2""",57515007315
DEMECLOCYCLINE HCL,300 MG,00904618196
MOMETASONE FUROATE,0.1 %,67405027530
BICALUTAMIDE,50 MG,67253019103
"SYRINGE W-NEEDLE,DISPOSAB,3ML","22GX1 1/2""",08290309574
LEVOTHYROXINE SODIUM,137 MCG,00378182305
METHYLPHENIDATE HCL,20 MG,53014053212
BUSPIRONE HCL,10 MG,51079098601
VERAPAMIL HCL,2.5 MG/ML,00409114405
LEVOTHYROXINE SODIUM,300 MCG,00456132800
MULTIVITAMIN W-MINERALS/LUTEIN,,11845014126
SODIUM FLUORIDE,0.5(1.1)MG,60258014620
NIACINAMIDE,500 MG,00536406901
FLUPHENAZINE HCL,1 MG,00527178805
,,08080656000
SIMETHICONE,125 MG,00043001718
TESTOSTERONE,50 MG (1%),00051845001
LORATADINE/PSEUDOEPHEDRINE,10MG-240MG,00363016513
ASPIRIN,325 MG,63868035210
ACYCLOVIR,800 MG,61442011305
WARFARIN SODIUM,2 MG,31722032801
SIMVASTATIN,20 MG,43353062560
TACROLIMUS,5 MG,00591335901
IBUPROFEN,800 MG,65162057010
GUAIFENESIN/DEXTROMETHORPHAN,100-10MG/5,68016085556
GABAPENTIN,300 MG,60505011307
L. ACIDOPHILUS/L. BIFIDUS,90 MG-25MG,74312005721
"THYROID,PORK",90 MG,42192033101
MEPERIDINE HCL/PF,50 MG/ML,00409117830
ASPIRIN,325 MG,15127073801
CALCIUM CARBONATE/VITAMIN D3,500 MG-200,00088165475
BESIFLOXACIN HCL,0.6 %,24208044605
LATANOPROST,0.005 %,17478062512
ATORVASTATIN CALCIUM,10 MG,00378201577
ALENDRONATE SODIUM,70 MG,67877024131
MEDROXYPROGESTERONE ACETATE,2.5 MG,59762374001
ATORVASTATIN CALCIUM,80 MG,00378212277
OLANZAPINE,2.5 MG,60505311003
"ESTROGENS, CONJUGATED",0.9 MG,00046110381
IMIQUIMOD,3.75 %,99207027175
ATORVASTATIN CALCIUM,40 MG,55111012390
OMEPRAZOLE,20 MG,60505395203
QUETIAPINE FUMARATE,400 MG,68180045001
CLONIDINE HCL,0.1 MG,16714034102
QUETIAPINE FUMARATE,25 MG,60505313001
QUETIAPINE FUMARATE,100 MG,16714037702
"NEEDLES, INSULIN DISPOSABLE","31GX5/16""",08396901134
HYDROCODONE BIT/HOMATROP ME-BR,5-1.5 MG/5,00472103016
WARFARIN SODIUM,3 MG,31722033001
DICLOFENAC EPOLAMINE,1.3 %,60793041130
VALSARTAN/HYDROCHLOROTHIAZIDE,320-12.5MG,00781595192
PIOGLITAZONE HCL,15 MG,00378004805
ESTRADIOL,0.06MG/24H,47781020704
DEXTROSE 70 % IN WATER,70 %,00338071906
QUINAPRIL/HYDROCHLOROTHIAZIDE,20-12.5 MG,31722037590
FAMCICLOVIR,500 MG,16714030501
VALGANCICLOVIR HCL,450 MG,00004003822
DONEPEZIL HCL,5 MG,43547027503
LEVETIRACETAM,750 MG,31722053805
QUETIAPINE FUMARATE,25 MG,60429037110
PAROXETINE HCL,40 MG,13107015705
ATORVASTATIN CALCIUM,40 MG,55111012305
QUETIAPINE FUMARATE,200 MG,68180044802
TESTOSTERONE,30MG/1.5ML,00002197590
ATORVASTATIN CALCIUM,20 MG,00904629161
OLANZAPINE,10 MG,62756055418
IRBESARTAN,150 MG,43547027803
LIDOCAINE/PRILOCAINE,2.5%-2.5%,00115146845
FAMCICLOVIR,500 MG,60505324703
LITHIUM CARBONATE,450 MG,68084054801
METOPROLOL SUCCINATE,100 MG,00378459710
NALTREXONE HCL,50 MG,47335032683
PEGINTERFERON ALFA-2B,888 MCG,00085131202
NORETH-ETHINYL ESTRADIOL/IRON,0.4-35(21),68180089713
BETAMET DIPROP/PROP GLY,0.05 %,66993089715
ALENDRONATE SODIUM,35 MG,00093517229
LACOSAMIDE,150 MG,00131247960
TOLTERODINE TARTRATE,2 MG,00093205505
"NEEDLES, INSULIN DISPOSABLE","31GX3/16""",90166063132
SULFACETAMIDE SODIUM,10 %,48102010335
LITHIUM CARBONATE,450 MG,00378145001
SERTRALINE HCL,100 MG,00378812705
OPIUM TINCTURE,10 MG/ML,42998020301
IVACAFTOR,150 MG,51167020002
METHOCARBAMOL,500 MG,52244042910
LOSARTAN POTASSIUM,50 MG,60429031790
SIMVASTATIN,40 MG,24658030330
METOPROLOL TARTRATE,50 MG,62584026611
CLOBETASOL PROPIONATE,0.05 %,00574210304
MEROPENEM,1 G,63323050830
AMMONIUM LACTATE,12 %,00574202116
PERPHENAZINE,8 MG,00603506228
LORAZEPAM,1 MG,65162001850
PERTUZUMAB,420MG/14ML,50242014501
QUETIAPINE FUMARATE,25 MG,16729014510
FLUTICASONE PROPIONATE,0.05 %,68462042702
OMEPRAZOLE,20 MG,62011015703
CEPHALEXIN,500 MG,62250080208
SITAGLIPTIN/SIMVASTATIN,100MG-20MG,00006075782
FELODIPINE,10 MG,00603358321
MODAFINIL,100 MG,55253080190
FONDAPARINUX SODIUM,2.5 MG/0.5,55111067810
FLUOXETINE HCL,10 MG,63304068630
DEXTROSE 5 % IN WATER,,00338055111
ZINC GLUCONATE,50 MG,54629017601
,,00045059113
MOMETASONE FUROATE,0.1 %,00115147154
METHOTREXATE SODIUM/PF,25 MG/ML,00069014601
ACETAMINOPHEN WITH CODEINE,300MG-30MG,65162003311
VITS A & D/WHITE PET/LANOLIN,,00085009602
GELATIN CAPSULES (EMPTY),,51927300400
GUAIFENESIN/DEXTROMETHORPHAN,200-10MG/5,61787006408
IRBESARTAN,75 MG,31722072990
AMOXICILLIN,500 MG,42291012150
IRBESARTAN,300 MG,00378202477
OLANZAPINE/FLUOXETINE HCL,3MG-25MG,49884027711
,,00069011301
"MULTIVITS,CA,MINERALS/IRON/FA",27MG-400,57896062110
GLUC/CHON-MSM#1/C/MANG/BOS/BOR,500-416.6,87701040761
HEP B VACCINE/DP(A)T-POLIO/PF,10-25-25,58160081152
AA 4.25%/CALCIUM/LYTES/D5W,4.25 %,00338111304
GABAPENTIN,600 MG,68084062401
NICOTINE POLACRILEX,4 MG,41163017025
ALLOPURINOL,100 MG,51079020501
PRAVASTATIN SODIUM,20 MG,00904611461
DIVALPROEX SODIUM,250 MG,68084031611
GARLIC,,11845123501
SODIUM FLUORIDE,1MG(2.2MG),44946101003
"DIAPER,BRIEF,ADULT,DISPOSABLE",,36000012777
AMLODIPINE BESYLATE,10 MG,76282023990
LIDOCAINE HCL,20 MG/ML,63323048617
VIT B COMP/C/FA/IRON/VIT E,500-400-18,00904026352
EZOGABINE,400 MG,00173081459
POVIDONE-IODINE,10 %,67618015301
BLOOD SUGAR DIAGNOSTIC,,65702049210
DOBUTAMINE HCL/D5W,1000MG/250,00409372432
SUMATRIPTAN SUCCINATE,6 MG/0.5ML,00781317471
DIMENHYDRINATE,50 MG,10267100604
CREAM BASE NO.47,,51927324300
HYDROMORPHONE HCL/PF,1 MG/ML,00409128310
MAG&AL/SIM/DIPHENHYD/LIDOCAINE,25-200/30,65628005004
ALPROSTADIL,10 MCG,52244001002
FEXOFENADINE HCL,180 MG,46122004075
TRANEXAMIC ACID,1000 MG/10,67457019710
CLONAZEPAM,0.5 MG,00603294820
CARISOPRODOL,350 MG,49999006400
CALCIUM CARBONATE,200(500)MG,00363022434
PHENAZOPYRIDINE HCL,100 MG,68084029211
LAMOTRIGINE,150 MG,59762204202
SIMETHICONE,40MG/0.6ML,37205011910
ESCITALOPRAM OXALATE,20 MG,51079054401
,,00069009102
CARVEDILOL,12.5 MG,68084026311
"NEEDLES, INSULIN DISPOSABLE","31GX5/16""",08214030721
DIAZEPAM,5 MG,68084035911
"DIAPER,BRIEF,ADULT,DISPOSABLE",,50428489342
HYDROCODONE BIT/ACETAMINOPHEN,5 MG-500MG,60429050924
BISMUTH SUBSALICYLATE,262MG/15ML,62011012601
FUROSEMIDE,20 MG,21695049007
,,49348095916
PANTOPRAZOLE SODIUM,40 MG,00008092360
BUPROPION HCL,100 MG,16714033401
ASCORBIC ACID,500 MG,54629008602
SODIUM BICARBONATE,1 MEQ/ML,00409349516
AMLODIPINE BESYLATE,5 MG,68084050511
LIDOCAINE HCL/EPINEPHRINE,1%-1:100K,63323048257
VORICONAZOLE,200 MG,00049319001
DIVALPROEX SODIUM,125 MG,59762130301
BICALUTAMIDE,50 MG,68382022405
CLONAZEPAM,0.5 MG,00378191077
SPIRONOLACTONE,50 MG,54738013102
PEG 400/HYPROMELLOSE/GLYCERIN,1-0.2-0.2%,57896018405
FLUOXETINE HCL,20 MG/5 ML,00121472105
NIACIN,100 MG,00536407601
OLANZAPINE,10 MG,00093524619
MEGESTROL ACETATE,40 MG,00182186400
METOPROLOL TARTRATE,100 MG,67544062760
CLOPIDOGREL BISULFATE,75 MG,60505025304
HYDROCODONE BIT/ACETAMINOPHEN,7.5-500MG,60429051001
NIACIN,1000 MG,35356030290
LORATADINE,5 MG/5 ML,00904623420
PALIVIZUMAB,50MG/0.5ML,60574411401
OMACETAXINE MEPESUCCINATE,3.5 MG,63459017714
NORTRIPTYLINE HCL,10 MG,51672400105
CALCIUM CARBONATE/VITAMIN D3,600 MG-400,10939028533
BLOOD-GLUCOSE METER,,15482076110
"SYRINGE W-NEEDLE,DISPOSAB,3ML","23GX1""",08290305905
ACETAMINOPHEN,325 MG,49348097310
"SYRING W-NDL,DISP,INSUL,0.3ML","31GX5/16""",89134074002
LORATADINE/PSEUDOEPHEDRINE,5 MG-120MG,11523716203
CEFDINIR,125 MG/5ML,16714020601
,,74312001976
GABAPENTIN,300 MG,00904563252
BACITRACIN,50000 UNIT,00009023303
UREA,45 %,68032042128
DIOSMIN COMPLEX NO.1,630 MG,68040061014
"NA PHOS,M-B/NA PHOS,DI-BA",19G-7G/118,68016003041
AMPICILLIN SODIUM/SULBACTAM NA,3 G,00049003283
BUTALB/ACETAMINOPHEN/CAFFEINE,50-325-40,00603254402
VENLAFAXINE HCL,37.5 MG,21695071630
MULTIVITAMIN WITH MINERALS,,40986001837
BETHANECHOL CHLORIDE,10 MG,51285069002
LEVOFLOXACIN/D5W,250MG/50ML,25021013281
ZOLPIDEM TARTRATE,10 MG,43353067010
CARVEDILOL,3.125 MG,00904630061
CAPSAICIN/MENTHOL,0.025-1.25,46581085106
PHENAZOPYRIDINE HCL,200 MG,55289020906
HYDROCODONE/ACETAMINOPHEN,5MG-325MG,00591320201
ATORVASTATIN CALCIUM,20 MG,68645045970
IPRATROPIUM/ALBUTEROL SULFATE,0.5-3MG/3,00781714664
VALPROIC ACID (AS SODIUM SALT),250 MG/5ML,60432062116
BETAMETHASONE/PROPYLENE GLYC,0.05 %,66993089715
BETAMETHASONE/PROPYLENE GLYC,0.05 %,00168026550
PIOGLITAZONE HCL/METFORMIN HCL,15MG-850MG,65862052660
AMLODIPINE BESYLATE/BENAZEPRIL,5 MG-40 MG,65862058501
MONTELUKAST SODIUM,10 MG,00603465528
LANSOPRAZOLE,30 MG,51991077233
AMLODIPINE/VALSARTAN/HCTHIAZID,10-160-25,00078056215
VALSARTAN/HYDROCHLOROTHIAZIDE,320-12.5MG,68180010109
IRBESARTAN,300 MG,00024585230
CEFEPIME HCL,2 G,44567024110
DONEPEZIL HCL,10 MG,33342002810
ESTRADIOL,0.05MG/24H,68968665008
LAMOTRIGINE,300 MG,49884060511
ZOLMITRIPTAN,5 MG,00115067250
DEXTROAMPHETAMINE/AMPHETAMINE,20 MG,00555078802
BENAZEPRIL HCL,40 MG,30698045001
HYDROCODONE/ACETAMINOPHEN,7.5-500MG,00603388232
FLUOCINOLONE ACETONIDE,0.025 %,52565002015
AMLODIPINE/ATORVASTATIN,10 MG-40MG,00378617093
HYDROCODONE/ACETAMINOPHEN,7.5-750MG,53746011801
MESALAMINE,4 G/60 ML,43386051087
AMLODIPINE/ATORVASTATIN,10 MG-40MG,00378617005
DIGOXIN,125 MCG,24987024275
IRON FUM&POLYSAC#1/FA/MV NO.18,106 MG-1MG,52747090260
